DAZ    	  283942	 C2H4   	  192734	  0.41097
DAZ    	  283949	 C2H4   	  184666	  0.39611
DAZ    	  283952	 C2H4   	  275586	  0.40423
DAZ    	  283969	 C2H4   	  147206	  0.39762
DAZ    	  283972	 C2H4   	  265449	  0.41473
DAZ    	  283979	 C2H4   	  213803	  0.40361
DAZ    	  283992	 C2H4   	  253357	  0.39636
DAZ    	  283999	 C2H4   	  129055	  0.38419
DAZ    	  284032	 C2H4   	  141782	  0.40546
DAZ    	  284039	 C2H4   	  228561	  0.38549
DAZ    	  284079	 C2H4   	  145082	  0.38131
DAZ    	  284082	 C2H4   	  137687	  0.41219
DAZ    	  284089	 C2H4   	  210812	  0.40062
DAZ    	  284112	 C2H4   	  156432	  0.40137
DAZ    	  284152	 C2H4   	  199827	  0.39611
DAZ    	  284192	 C2H4   	  198680	  0.38171
DAZ    	  284199	 C2H4   	  185317	  0.38794
DAZ    	  284209	 C2H4   	  273224	  0.40299
DAZ    	  284212	 C2H4   	  134913	  0.40012
DAZ    	  284219	 C2H4   	  128617	  0.40361
DAZ    	  284242	 C2H4   	  235836	  0.38846
DAZ    	  284249	 C2H4   	  193802	  0.40162
DAZ    	  284252	 C2H4   	  200401	  0.38341
DAZ    	  284259	 C2H4   	  179102	  0.39472
DAZ    	  284292	 C2H4   	  211078	  0.40361
DAZ    	  284299	 C2H4   	  181460	  0.38328
DAZ    	  284322	 C2H4   	  216863	  0.39648
DAZ    	  284329	 C2H4   	  135868	  0.41219
DAZ    	  284332	 C2H4   	  160535	  0.40608
DAZ    	  284342	 C2H4   	  185844	  0.40361
DAZ    	  284362	 C2H4   	  206101	  0.39230
DAZ    	  284369	 C2H4   	  162484	  0.40915
DAZ    	  284382	 C2H4   	  161100	  0.38484
DAZ    	  284389	 C2H4   	  143501	  0.41085
DAZ    	  284429	 C2H4   	  244753	  0.40200
DAZ    	  284442	 C2H4   	  174566	  0.40571
DAZ    	  284452	 C2H4   	  241675	  0.41061
DAZ    	  284462	 C2H4   	  184203	  0.38210
DAZ    	  284469	 C2H4   	  174292	  0.41388
DAZ    	  284479	 C2H4   	  157771	  0.40509
DAZ    	  284482	 C2H4   	  280966	  0.38923
DAZ    	  284492	 C2H4   	  161205	  0.40571
DAZ    	  284522	 C2H4   	  195110	  0.38066
DAZ    	  284529	 C2H4   	  150237	  0.39408
DAZ    	  284542	 C2H4   	  273849	  0.41352
DAZ    	  284549	 C2H4   	  246300	  0.40902
DAZ    	  284562	 C2H4   	  163077	  0.40497
DAZ    	  284572	 C2H4   	  143606	  0.38197
DAZ    	  284589	 C2H4   	  197066	  0.40620
DAZ    	  284609	 C2H4   	  271992	  0.40460
DAZ    	  284612	 C2H4   	  203195	  0.39217
DAZ    	  284619	 C2H4   	  199359	  0.39711
DAZ    	  284622	 C2H4   	  145071	  0.38794
DAZ    	  284629	 C2H4   	  160915	  0.40509
DAZ    	  284649	 C2H4   	  125444	  0.39962
DAZ    	  284682	 C2H4   	  255075	  0.40497
DAZ    	  284689	 C2H4   	  272243	  0.41012
DAZ    	  284692	 C2H4   	  127711	  0.40853
DAZ    	  284702	 C2H4   	  217067	  0.38406
DAZ    	  284709	 C2H4   	  199647	  0.39115
DAZ    	  284719	 C2H4   	  198713	  0.38588
DAZ    	  284752	 C2H4   	  243207	  0.40472
DAZ    	  284759	 C2H4   	  270302	  0.37696
DAZ    	  284769	 C2H4   	  123830	  0.39013
DAZ    	  284772	 C2H4   	  268587	  0.41158
DAZ    	  284782	 C2H4   	  249051	  0.39674
DAZ    	  284799	 C2H4   	  231982	  0.41413
1COO   	  122316	 1COO   	  283746	  0.40324
1COO   	  122315	 1COO   	  283745
1COO   	  122736	 1COO   	  123556	  0.42154
1COO   	  122735	 1COO   	  123555
DAZ    	  121912	 CCH3   	   20418	  0.40157
DAZ    	  121919	 CCH3   	   89244	  0.39296
DAZ    	  122009	 CCH3   	   26016	  0.38527
DAZ    	  122022	 CCH3   	   56552	  0.39067
DAZ    	  122039	 CCH3   	   21124	  0.40071
DAZ    	  122099	 CCH3   	  105608	  0.39130
DAZ    	  122252	 CCH3   	   62726	  0.39235
DAZ    	  122542	 CCH3   	   47108	  0.40430
DAZ    	  122649	 CCH3   	  102606	  0.41148
DAZ    	  122732	 CCH3   	   99826	  0.41300
DAZ    	  122792	 CCH3   	  105450	  0.41418
DAZ    	  122802	 CCH3   	   49696	  0.40931
DAZ    	  122959	 CCH3   	   89264	  0.40657
DAZ    	  123159	 CCH3   	  112048	  0.38317
DAZ    	  123169	 CCH3   	   94884	  0.38673
DAZ    	  123182	 CCH3   	  119842	  0.39050
DAZ    	  123239	 CCH3   	   90266	  0.37994
DAZ    	  123269	 CCH3   	   10090	  0.39397
DAZ    	  123319	 CCH3   	   67738	  0.41215
DAZ    	  123322	 CCH3   	   19568	  0.39450
DAZ    	  123469	 CCH3   	   79068	  0.37841
DAZ    	  123492	 CCH3   	   82624	  0.40764
DAZ    	  123542	 CCH3   	   45180	  0.41188
DAZ    	  123559	 CCH3   	   55338	  0.40537
DAZ    	  123572	 CCH3   	   94374	  0.41191
DAZ    	  282862	 CCH3   	  112102	  0.41093
DAZ    	  282922	 CCH3   	   34042	  0.40155
DAZ    	  282962	 CCH3   	   60228	  0.40013
DAZ    	  282972	 CCH3   	   86176	  0.39852
DAZ    	  282979	 CCH3   	  114008	  0.39267
DAZ    	  283039	 CCH3   	   11402	  0.39037
DAZ    	  283309	 CCH3   	   67242	  0.40184
DAZ    	  283322	 CCH3   	   79394	  0.40233
DAZ    	  283329	 CCH3   	  103462	  0.40991
DAZ    	  283459	 CCH3   	   23762	  0.38161
DAZ    	  283592	 CCH3   	   88032	  0.38914
DAZ    	  283609	 CCH3   	   36546	  0.37751
DAZ    	  283672	 CCH3   	  116926	  0.37640
